2022-09-13 19:09:673 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (5508517a9096fe1271dbc30f25b06ce5)] -> link text: Log in]
2022-09-13 19:09:412 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:654 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (5560eb65ce7718307d6d5669fa560607)] -> link text: Log in]
2022-09-13 19:09:112 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:371 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (273ff8683db87d0b069b11617b27b388)] -> link text: Log in]
2022-09-13 19:09:411 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:92 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (30f705be8e5255e0aacb9039ca694e6f)] -> link text: Log in]
2022-09-13 19:09:18 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:325 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (634dd271a9955cb0ea6d6bce5c8bbc99)] -> link text: Log in]
2022-09-13 19:09:116 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:60 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (4bd44097c76281c8b79251e368ac3b74)] -> link text: Log in]
2022-09-13 19:09:716 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:33 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (ea99605a293b2e1572d7044d8b7e9a40)] -> link text: Log in]
2022-09-13 19:09:774 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:918 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (e1b07910501b52c0816ed7611153d79c)] -> link text: Log in]
2022-09-13 19:09:115 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:654 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (4ee81fa3d7667e03465adc8fbbd45228)] -> link text: Log in]
2022-09-13 19:09:75 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:894 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (d73c32397dacbfc7f39c4a64e5a2edbd)] -> link text: Log in]
2022-09-13 19:09:687 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:774 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (9cf0c1f6154ffbe661a1cb26ee93683f)] -> link text: Log in]
2022-09-13 19:09:647 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:906 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (63d0968b549376199c5aa4716da0e606)] -> link text: Log in]
2022-09-13 19:09:647 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:855 INFO  HomePage :48 - Clicking on Login Link :[[ChromeDriver: chrome on WINDOWS (debbd64be0b1274e9ac976d2d7d459ce)] -> link text: Register]
2022-09-13 19:09:954 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:366 INFO  HomePage :48 - Clicking on Login Link :[[ChromeDriver: chrome on WINDOWS (3bc7634f5d5820222914c10a15c14de5)] -> link text: Register]
2022-09-13 19:09:884 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:908 INFO  HomePage :48 - Clicking on Login Link :[[ChromeDriver: chrome on WINDOWS (d4f2d6209c5bc05f15931bc905ca8f47)] -> link text: Register]
2022-09-13 19:09:972 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:395 INFO  HomePage :48 - Clicking on Login Link :[[ChromeDriver: chrome on WINDOWS (afa645ef3141093ea27dcdf201c14891)] -> link text: Register]
2022-09-13 19:09:38 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:717 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (7344f5b284c962138394878784f618f1)] -> link text: Log in]
2022-09-13 19:09:773 INFO  LoginPage :78 - Getting text from : [[ChromeDriver: chrome on WINDOWS (7344f5b284c962138394878784f618f1)] -> xpath: //div[@class='page-title']/h1]
2022-09-13 19:09:792 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:789 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (5c791024906662ea38ee1f465a1fad14)] -> link text: Log in]
2022-09-13 19:09:727 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:812 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (d4e3ef65079e004da485f325524d746a)] -> link text: Log in]
2022-09-13 19:09:817 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:94 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (8afdadb9e6906daae4d34cd94dd0be27)] -> link text: Log in]
2022-09-13 19:09:986 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:986 INFO  HomePage :48 - Clicking on Login Link :[[ChromeDriver: chrome on WINDOWS (dd5a9f117f9ea0710ebe58f3eb8a007f)] -> link text: Register]
2022-09-13 19:09:54 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:191 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:706 INFO  HomePage :48 - Clicking on Login Link :[[ChromeDriver: chrome on WINDOWS (48a8e96255459a2eba4ff4efd031081a)] -> link text: Register]
2022-09-13 20:09:07 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:132 INFO  HomePage :48 - Clicking on Login Link :[[ChromeDriver: chrome on WINDOWS (d5c507812cf7b0598e66b2101ce7921b)] -> link text: Register]
2022-09-13 20:09:589 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:418 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (ee2ea7c07e44227b4afeff52a6c1ce58)] -> link text: Log in]
2022-09-13 20:09:464 INFO  LoginPage :78 - Getting text from : [[ChromeDriver: chrome on WINDOWS (ee2ea7c07e44227b4afeff52a6c1ce58)] -> xpath: //div[@class='page-title']/h1]
2022-09-13 20:09:489 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:513 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (559da9f32f1a6bc15993679f76503c8d)] -> link text: Log in]
2022-09-13 20:09:531 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:577 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (5ad4b6cb2ea0a94206aa5ce8a553423a)] -> link text: Log in]
2022-09-13 20:09:800 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:950 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (b7e4a3706fe6a9c6203187a1e8cb3870)] -> link text: Log in]
2022-09-13 20:09:157 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:630 INFO  HomePage :48 - Clicking on Login Link :[[ChromeDriver: chrome on WINDOWS (0e2c06b418a1c238b9d68e111dfb8fd9)] -> link text: Register]
2022-09-13 20:09:693 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:322 INFO  HomePage :48 - Clicking on Login Link :[[ChromeDriver: chrome on WINDOWS (2a5363116000f68e2048b48c9e8c6e0e)] -> link text: Register]
2022-09-13 20:09:942 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:741 INFO  HomePage :48 - Clicking on Login Link :[[ChromeDriver: chrome on WINDOWS (f60a5b949266b2d3de0ed42d92828da2)] -> link text: Register]
2022-09-13 20:09:525 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:399 INFO  HomePage :48 - Clicking on Login Link :[[ChromeDriver: chrome on WINDOWS (e77fdb751f381e35d731d412a6455a30)] -> link text: Register]
2022-09-13 20:09:794 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:617 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (406f1d1da8e823c60cd39170c55e04b4)] -> link text: Log in]
2022-09-13 20:09:579 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:278 INFO  HomePage :48 - Clicking on Login Link :[[ChromeDriver: chrome on WINDOWS (033eb92d1638ecb12cc07d9b2419533f)] -> link text: Register]
2022-09-13 20:09:228 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:938 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (7b1ffad76d0e10caa3d8a0225f0c8ad4)] -> link text: Log in]
2022-09-13 20:09:981 INFO  LoginPage :78 - Getting text from : [[ChromeDriver: chrome on WINDOWS (7b1ffad76d0e10caa3d8a0225f0c8ad4)] -> xpath: //div[@class='page-title']/h1]
2022-09-13 20:09:01 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:37 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (d13e6987278fb0fe3630860937c8c93c)] -> link text: Log in]
2022-09-13 20:09:263 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:700 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (498d2beda937e42fde76efc8cf11f13d)] -> link text: Log in]
2022-09-13 20:09:783 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 20:09:178 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (1ba74aa166d5cd8370c5bb1e554032ad)] -> link text: Log in]
2022-09-13 20:09:505 INFO  ManageDriver :31 - Launching Chrome Browser
